Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HomePageTestSuite,Chrome 73.0.3683.103,,2019-04-15 15:01:31,2019-04-15 15:03:09,1m - 38.429s,PASSED
,,,,,,
Test Cases/HomePageTestCase/GetTextOFDepartmentDropDown,Chrome 73.0.3683.103,,2019-04-15 15:01:31,2019-04-15 15:03:08,1m - 37.476s,PASSED
"callTestCase(findTestCase(""Common TestCase/OpenBrowserNavigateToURL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-15 15:01:31,2019-04-15 15:02:22,50.651s,PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-15 15:02:22,2019-04-15 15:02:24,2.015s,PASSED
"waitForElementPresent(findTestObject(""RowDropDown/DepartmentDropDown""), 2)",Chrome 73.0.3683.103,,2019-04-15 15:02:24,2019-04-15 15:02:24,0.094s,PASSED
"click(findTestObject(""RowDropDown/DepartmentDropDown""))",Chrome 73.0.3683.103,,2019-04-15 15:02:24,2019-04-15 15:03:03,38.775s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-15 15:03:03,2019-04-15 15:03:08,5.004s,PASSED
"mouseOver(findTestObject(""RowDropDown/DepartmentDropDown""))",Chrome 73.0.3683.103,,2019-04-15 15:03:08,2019-04-15 15:03:08,0.110s,PASSED
webDriver = getWebDriver(),Chrome 73.0.3683.103,,2019-04-15 15:03:08,2019-04-15 15:03:08,0.011s,PASSED
"elements = webDriver.findElements(By.xpath(""//li[@id='furniture']/../li/a""))",Chrome 73.0.3683.103,,2019-04-15 15:03:08,2019-04-15 15:03:08,0.061s,PASSED
for (org.openqa.selenium.WebElement element : elements),Chrome 73.0.3683.103,,2019-04-15 15:03:08,2019-04-15 15:03:08,0.343s,PASSED
